month,day,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,1,17.0,381.83863416866933,151.01830665723003,132.8212062078639,196.86488925277985,306.01497123331893,311.08127378932244,312.2875931125508,316.65882113345776,331.78497529975414,416.7662585227227,435.5218653217146,439.7803361061553,530.6049267096489,573.4746664082321,670.1532903554059
1,2,17.0,380.0047410927707,152.4915463934871,133.70786024725336,190.6809069330031,288.9133911352143,311.3620265183893,312.8360422487947,317.7144159633955,331.1588584263128,421.54704257893934,433.4352136719091,437.2936027422213,529.3761447859434,576.2791427702573,661.8892704275657
1,3,17.0,378.825403672859,147.0762239102559,126.50856071992503,192.46366840956728,283.3066047655637,316.18150326500574,319.9054999128583,326.61281960383883,347.4622363372312,421.39853750704117,437.29956255470483,445.4071706625329,525.7674598139332,556.5531046664537,643.8932431541128
1,4,17.0,371.01023544976283,151.73805669150337,123.98395321753031,154.68054654893754,246.10123793276725,314.6597659945875,320.98123617453115,332.2576751412534,345.69545422367844,420.3310679885042,440.27592107423084,451.2526658605416,497.8807061913002,559.5107851731257,633.1240835129994
1,5,17.0,368.75047454056863,153.3124633268763,118.56293805970014,149.18678716604015,246.58270985455664,319.22030287166103,324.7679947116485,332.55711928357755,354.2223933023846,395.4532710132481,438.98190270221676,454.3129482801388,488.73415970901715,569.648542365366,624.7028480733959
1,6,17.0,370.7537447644294,155.84935265494948,120.03521236070408,151.30593066318016,250.5839422198694,324.1969763898161,326.7181624273703,329.8962988057865,334.6156040088062,390.0787613447129,438.7128557843727,460.1307267489381,495.19429843155285,578.9834138972558,627.7420461908544
1,7,17.0,378.49513288883503,154.30595437412825,137.0799001468387,161.85408096241952,253.23761908414295,325.7497080514802,330.68853736088386,341.8694964515575,354.7584770627841,385.96640939421275,440.232406695793,464.98336402634345,512.5968582763398,590.3430232262085,629.5298005813413
1,8,17.0,386.2515993767004,150.78475793261183,148.2842357182016,196.66743460935513,256.22363160815485,331.09882533837055,337.26761791678905,344.6065447201234,354.8628879870347,386.4952021625777,438.71475037754135,467.53848219107897,533.9394596241694,598.9817948332421,626.8520775967933
1,9,17.0,399.50792119994503,151.62602543122932,155.51097345212762,212.29864945058043,306.16019042356317,333.89693237820865,340.72816601991724,353.4503108334724,355.35046001984324,384.3565429486879,437.6155599357952,474.36715773301466,571.2700960623271,614.7951624332818,631.2967393281959
1,10,17.0,408.3212006337273,154.44157758093294,161.57352584977576,220.11620561966538,306.4730898378913,342.6354931299467,347.2859798253219,354.18657816142604,361.46802700644355,405.7932708526907,451.0520051544884,482.38736602083804,584.9279791083352,621.094127905151,650.225452817473
1,11,17.0,405.8450630488893,156.29519937409384,156.73078955302924,223.6327720696325,297.85379392134337,344.81383387054353,349.545301668937,353.71690895988377,363.51578894733063,391.2398509479939,423.3940597294139,458.3788286107755,600.5582891919355,618.0774691056789,651.4261036560117
1,12,17.0,404.60545283727197,159.22649496577006,133.08610922848328,226.50201474410866,296.974313343785,337.35325794412233,343.3320228822248,351.47963762369625,363.20757508586905,387.62198441993695,418.7568496162791,460.7973996443678,604.2149979778345,619.0610002504928,651.309629000942
1,13,17.0,406.60898200319053,158.72995725397698,132.02921356218093,234.68467581387893,295.61079328142824,340.164929280295,344.26678478627235,347.39558145491117,368.15054281946306,397.85672435774245,421.3845440763961,460.75005632264697,597.5466670977779,624.5967662888409,651.2329878590933
1,14,17.0,408.588565037768,161.10018915358722,132.1584640603463,238.48309526667435,294.1031516038633,333.2662746147844,338.6306088124701,347.88826599383447,368.3821576932544,402.6019050600544,421.85946410088377,459.65893996115307,599.6887851937358,637.497807324869,651.0509973937856
1,15,17.0,410.86376979530127,163.39093479589093,132.59928122976237,237.944566752501,292.47317783499943,323.4035056304851,331.70502915873374,355.2529552439123,370.98875011707327,412.95162172106274,425.9843227979219,456.2247083271498,595.4503669252787,651.6099212383936,658.415774442672
1,16,17.0,412.39187588378036,163.4475828171806,134.37186008450777,243.64496546772799,290.8203871810805,312.8494627168697,326.34586963505035,358.34821910577966,404.3201845184653,410.3838398412365,421.931227596742,455.492080130484,596.4991928891102,644.7698283443596,669.0073358487294
1,17,17.0,408.6058171480167,154.75659183054873,136.54286067725565,244.8469069708712,300.78056191903306,316.1475939800929,326.6635761021473,363.4524561130539,400.5301394838411,413.2638261852799,416.94070850790035,442.1973567656136,562.4269029572425,633.7291137778525,657.3537576039911
1,18,17.0,407.44703600586973,150.6437601551862,145.55321998445072,244.33549909562112,305.4486922984645,332.2310540518185,339.8252034830026,361.6361195940229,392.7401291907929,418.87490148107577,429.3287586727447,440.6198855393115,558.3341682152383,627.1127409294714,664.9200685775237
1,19,17.0,410.83522406839035,150.85204988872067,145.8155002234547,249.2648449150629,313.5662102548266,335.4356316935144,340.4551858299207,357.6171166099613,417.7197960906471,425.1447479913684,435.405437302284,441.5062358383695,562.5047779274902,626.9542595083415,671.5727696940739
1,20,17.0,410.18572578455513,152.24850817559096,149.79596537944892,254.18355333849723,311.63090896094155,326.51919846175497,332.95516075498796,343.2942328073014,409.5614631819,432.92456642489424,444.51314220555327,448.1345894248719,567.7552107620909,627.4178407891076,674.317419515596
1,21,17.0,413.39168542103164,154.04668084088524,157.33934976321794,253.94201814381609,311.3791984188466,317.4589514829875,325.2426106053334,345.6581641269587,412.5827746776154,433.35584659843016,448.04279189831163,458.0296882174713,572.0842484436193,631.024745969391,680.782796410749
1,22,17.0,415.50591372428875,153.24022905180507,164.92694190041067,253.02749599773284,312.85581173434036,315.37511092923506,330.171258743864,361.71052723386686,412.5054591162763,431.1907819565713,448.6188091373556,458.2397153018121,571.5401738159545,633.4075542067022,683.0510148288467
1,23,17.0,419.24905295966363,151.32115894497113,168.81294956344206,256.851350752253,313.37439996566707,320.2335642236457,337.2031929481329,372.9323973474838,411.3934850632392,440.1878180488071,448.67408993670745,457.1742767032972,569.7308185425425,634.2937560654688,686.4025267664423
1,24,17.0,421.5278796913854,148.51948202209422,169.99758288884283,253.16118869882632,313.5532365485477,332.63659254505137,346.30716905288375,385.1225245464914,415.40495663369126,448.4413668973652,461.1129436911626,467.44854688009326,569.578906630733,615.2137909615993,687.5061551428569
1,25,17.0,423.48800580759047,150.05120164648605,169.8839914439152,248.12751766202143,307.6192276116716,346.0861710015287,355.2971856154581,386.6618352997555,428.3401663834652,440.21131631250637,468.6073902057945,481.1213766630219,565.0481404115828,622.8231108214968,688.1731073957325
1,26,17.0,426.5640915130887,150.4824636379029,164.03972060838726,249.66766764361404,308.4746697886637,354.0300811732678,361.160288490921,391.85125719528736,428.46312114326406,438.35714496567016,465.995356787696,484.26742056300736,561.9310448842964,629.4966969689642,692.8125758800963
1,27,17.0,428.8965847817151,147.76176711870153,162.2408218531603,254.60803205698886,317.62586844159074,359.4374216759101,367.25751851002565,391.44347346084385,438.3779969825969,447.43213247026677,470.035615117356,483.946332712907,553.677938259166,629.4586736401906,691.8790672093576
1,28,17.0,424.6654439976592,136.80755439297405,164.76649212862594,257.0379296008424,345.4793351631876,368.37042077985535,373.4276039698142,387.89910965967215,425.87098664550655,446.91988946371544,474.4403246097144,485.09945111589263,548.1029886414759,579.9849725847228,690.3706497379344
1,29,17.0,423.4180197067615,131.32291089336843,166.89469767952698,260.2757241158222,348.1973241819387,378.4816725819867,382.1980598316848,394.8824271809534,411.28735646209225,450.4360680219992,477.12383059578286,482.674980214303,541.2611690694707,560.4371304441496,687.1412722512451
1,30,17.0,419.2680927102215,124.63185050528097,167.97390028115188,269.6724179908811,343.9086662489975,378.79831278912616,384.221212970597,394.3662128258572,407.4879738642192,444.249322237417,483.9347790974266,494.14475960229413,503.41083729344206,542.2857574577185,686.8552589756918
1,31,17.0,414.9296319371046,125.4346791870953,168.4339927591907,272.971673604735,310.1990161397588,382.4940033453031,385.08628700559217,389.3030729008874,401.7556881247534,428.9280127318009,449.719405295911,464.50354987271135,519.8037836018625,542.9937080167848,687.6046052539983
2,1,17.0,418.97216502287046,130.66366293295908,168.38898098928274,283.36187400846836,312.7244426690444,379.55845175519084,382.3781819331504,389.4290033145436,415.0559177193248,417.11032513439943,425.31582014636126,443.5352459897505,517.3917549771447,562.7450302182167,712.1445734559425
2,2,17.0,423.1638340118962,134.8804186293021,169.05671052078588,294.4960950385925,315.8493073780357,377.22649035258803,379.54371426246394,388.3541622246282,398.68117316555725,425.4345435689455,431.8008349866328,447.54948199836684,518.7764109129273,568.2284571906443,742.5397405401922
2,3,17.0,428.9299530719602,144.3887459633259,169.9593028235296,289.8716538205406,327.30650553197273,380.53682416985527,386.13415516077157,390.60739564909886,398.1872761640732,419.4002846553257,440.2005804780182,457.26092160170026,521.0698156874804,595.7838333940201,774.2580763997147
2,4,17.0,428.65803262043994,146.70110517017193,173.43159899069352,284.3046062310495,332.7821183431755,377.5937709513591,382.89011649039094,387.38347599054384,390.02777069613416,416.8114111685761,448.89688924706365,467.93292400360394,521.0959176363168,601.073359695783,771.4739100564617
2,5,17.0,428.1828693695785,139.43659989754713,188.8059451257315,290.73761714988586,335.7669429337625,376.164106121001,376.704227368123,380.6231478000569,390.63382039963386,418.8999545948516,461.97030460674773,482.4001726518885,518.0428925088232,598.9800392355698,735.0614340417069
2,6,17.0,429.42353832372197,130.10596469131715,204.62525015265075,289.5339785771572,354.2174918145211,373.97553383092026,378.83053222437644,387.445928129311,410.90605021357925,422.492750282869,470.18266754356455,493.59616025545944,513.1317132494922,586.0105728560978,706.8027547255895
2,7,17.0,427.97054225308983,130.0985947904526,212.69463168207471,275.92841924312035,342.65503967421375,374.92296843503016,380.19407259098654,391.19786181265397,421.0170273036052,429.01672871781034,469.92953238838567,494.66342291953254,511.6757479689543,564.1761725568076,730.1343533948985
2,8,17.0,428.1031829859102,129.7332673190155,196.47249395150337,277.7607480333868,330.2312638716577,386.63739820530736,392.8722249557405,402.9259772243529,423.2039060079152,442.18650655029535,475.9326850059273,491.7192475491775,514.1716059567564,544.0163025013304,747.4339899468761
2,9,17.0,425.9163163888238,129.70844315415323,196.1347107653081,272.7979279317121,315.9067158537204,385.57022682573205,392.6790715775596,408.22973918402135,424.79576576632445,459.3248676457688,483.0733668286115,490.9662914618435,494.70037276398847,526.1344898521742,753.108130262005
2,10,17.0,424.5772374807358,126.96204440937676,221.86985553443162,258.24748108354584,317.6995998588782,389.82618252926443,397.0959206449926,409.9567971861464,423.9666706068842,460.8271665611577,468.6426146811293,471.4378667170279,487.4548393640156,528.722164302305,747.7764002472333
2,11,17.0,422.7904768286771,122.63698755279411,241.25892117410527,263.903020638395,319.6073611174913,389.9805224396649,395.9498052221833,398.0677153040548,415.5196166511627,445.2302789036348,466.4990255394985,472.9873221676277,488.82831857756514,529.2375890541279,738.80344204805
2,12,17.0,421.943393816768,123.19855127426726,242.75911407652197,260.27403021685893,322.5217953358459,381.8943121017684,386.5133913473069,394.283795961588,413.20198541112234,447.1765850716665,467.4471465845244,471.9549827887344,486.7270475213316,535.854603090151,736.7325160956663
2,13,17.0,426.64833165185564,121.65087385133207,244.1383129377175,263.11323050833744,339.13523384497074,381.8724411011075,388.1176844368654,402.67790780706264,418.3103378068909,449.9049145194446,465.95670693430486,472.14300390327895,500.0486995131051,537.4862742741063,734.9275638307977
2,14,17.0,427.20361078457415,118.94368955240712,246.8830948857779,262.66983437430025,339.542674510231,381.8675194324651,394.41368544420277,412.8353988444431,430.9839234059285,447.0091922913519,463.74762170107897,471.6196032987367,502.9576358945463,536.3662714075979,719.5715731698014
2,15,17.0,429.1314394502083,112.96098431873797,248.94888934859728,266.5482607474552,355.70890613406647,385.0691672228582,400.8460478538997,424.4243249959806,443.5011789804691,446.8356121031206,458.9610669114711,469.81209053762035,503.3339056283452,526.5425263145198,703.1412690169141
2,16,17.0,429.57058641602225,114.53678463803776,249.77642436239353,272.1207080023145,347.8805905236991,392.30522461469957,400.6524749815764,409.9035165453814,431.77410250922054,453.33050888167577,472.89132212278446,484.9929908281156,505.8541713689484,518.2022202213542,718.0452761406315
2,17,17.0,425.05420520803466,116.83343992068104,249.28868564840053,275.52324790854834,334.87639417282406,392.7332827687617,402.01377665675926,406.5456848869191,415.4153323052096,427.296789964914,457.04042299163905,473.52292915322755,502.5258023537065,530.1089656989146,727.1268576706233
2,18,17.0,421.0332599904556,117.77758152159304,249.54507654090418,284.9588528287054,333.51122990875547,371.08872326818556,378.3220770536682,392.7628225207641,410.85521625824504,423.248835494472,447.79289364430616,462.8376209543543,482.2902492618251,538.2925092133588,732.0023494533684
2,19,17.0,417.35607853696337,115.96163035450478,249.26300284635337,289.6852313491758,334.40194614717916,361.1656724209602,367.4659471590035,382.6280525229125,414.5131884373077,425.3291194036957,437.7666908731005,447.9104797420792,476.6934550693811,527.5768416187523,734.573050420025
2,20,17.0,411.9261693533998,112.40509041653716,249.37744588495457,296.45582607344136,336.25020560555515,354.6078397473159,363.60399296193873,376.0641526701494,395.325042870392,423.8274909195932,442.28634408971163,451.16926115110414,472.44967827818874,506.9746024578103,728.9317451328398
2,21,17.0,406.6570505061735,110.66830134914319,252.1588469251855,286.38676530595205,337.17822141601357,350.47532777765116,356.7824522505349,368.6498619501172,378.27712718096615,432.2988161324412,435.51786704665994,437.3446594919433,466.30128117652026,498.25665457026275,722.7838898701981
2,22,17.0,402.75505277527947,112.05142538268942,258.75881566277724,280.295579582472,310.77110341499895,345.22374482798296,352.391910876495,365.4839141926537,385.5765261948345,415.32729228467895,435.4695611466381,446.40867108288853,478.8531270909539,491.3350671568729,719.8547545081482
2,23,17.0,398.26520792758964,114.85524612631667,228.9288956972777,269.9955150781858,302.4939118843416,347.21635047167257,355.3937841642464,373.22877781876485,379.2159481136376,415.54099886143547,434.76926319567326,442.3386388698726,469.9943153620884,488.8125890365368,715.3365793096987
2,24,17.0,398.1178818133215,113.08020349417306,239.53207245154024,269.7528200846393,301.99816993454095,347.31532788748507,350.560477554179,363.60113101322924,393.70876147993545,417.960332290133,433.542109850778,440.84583388809165,469.8863565753396,484.41594929971507,711.7683783367653
2,25,17.0,398.53489492104944,112.85617585124673,247.2816070415,267.80878742532127,300.0126451719555,343.9696577329164,346.6024052596257,363.0312385950798,394.7893628544328,421.79545518894315,438.6714326849945,446.2608331746334,468.64322768250236,482.5072827724439,711.8404426860916
2,26,17.0,400.8908917659162,113.79523828287732,249.26594464612504,265.77333342912755,297.6972093560114,341.95978614922126,348.4809706310786,368.23232388673404,393.42636772848044,439.44477687242824,451.44069304289485,456.2835417159794,467.1110048931401,479.1547408359562,712.3115967630738
2,27,17.0,406.9058719295424,118.04949889255131,251.73361698150168,264.9528968447139,296.28436660433283,343.04407361893095,354.546063170201,383.9856390233357,397.3782520013608,449.8350942636737,455.27052674275694,458.4531643763632,470.08011773527613,485.84026226728463,731.4554724466224
2,28,17.0,412.49618525590216,121.7568558352503,250.2046258648241,264.9062625590833,295.20509920403964,349.2636279690409,363.27082255363337,392.4169139598896,414.240661760935,451.55821906882966,460.1644288231927,463.7979980503781,469.6080826055845,505.1457508169859,745.14421414423
3,1,18.0,418.0167496048123,123.81639169290247,249.36736622556793,266.5292675068196,301.4034199366974,358.47226305615607,380.2955220792795,396.72121564520876,416.7472934310932,450.01394079945015,462.16820632629594,469.4688649808259,492.98842997331565,514.7133721231653,759.8728887160447
3,2,18.0,425.25682181125745,132.27996473918606,246.53091278173676,262.66940534726393,304.91042416165067,370.6457842228174,387.4604901373305,399.5943874519243,413.20536329426966,454.2674439484056,471.03878824343667,471.87952760283537,513.8467718955342,527.7781217968273,792.89717148127
3,3,18.0,431.4547128966131,137.6922017567123,246.16709841317783,263.59844302287877,307.6230819341729,388.0141498987771,390.0921804882761,394.79917583419154,420.0206615436763,454.61773727098324,473.0106785997848,478.5158681193686,523.33999566577,538.0746303307164,818.8387170315109
3,4,18.0,434.374301968627,142.69537552564748,245.5042461739062,273.78178154900036,304.07999127819056,352.5780503941379,378.82781432564957,403.20973908778336,421.7135619270035,454.7265778077392,475.27280921515256,483.68238930197253,523.2853769880501,560.6295541289879,836.3006334700679
3,5,18.0,435.8967464298818,145.568122410981,244.58412459751008,277.25331051062693,304.19167517286155,336.1027367659146,372.433990029015,402.23011989333065,423.5877093571453,455.3211181966541,470.89744731314556,472.465396790069,524.3537208562815,577.5487145216216,830.971192772252
3,6,18.0,432.1810789510432,147.92809660173674,224.84282402838556,284.19522118682823,297.49411196895846,319.4180013833254,366.00104844027317,401.91218788666924,415.3698652270249,450.60037664095967,460.84323619854734,461.90444529749067,531.8784418957862,583.8214759923344,816.3165905971098
3,7,18.0,429.99257725744815,145.11643503986292,221.80907652978422,282.1181782102484,301.8269837108336,325.05953186431117,367.22450575000045,399.7213941431225,414.16747827968044,435.93356641366864,458.7930704238405,462.8047874750813,529.5188762435012,583.9767004105178,797.7552310301919
3,8,18.0,422.3491806161671,139.39253320754733,216.97245029455215,278.4149146872617,307.253217451908,326.5231811287616,357.92366058164964,386.1175462660616,407.8708156568557,433.5752089073824,457.596522136856,462.9052753716461,498.4106121636304,571.2489501098611,776.1862827198671
3,9,18.0,416.2015300437878,132.02937544301565,216.21796507366565,291.31773065166874,313.6480536298675,326.58092270576833,354.3118901547174,381.0261357886503,408.6626735241476,428.8989349790142,444.25893047594593,444.3877781974747,471.924662752347,560.0505304459665,753.2060559075195
3,10,18.0,403.25609566231867,128.6992966821582,215.272921258055,280.8896762648178,316.7710067344804,323.55924032515316,333.19971334972524,362.20283729728635,391.2614313115591,416.2551737854232,420.9288191986761,426.76271780632993,465.89907745852116,543.9001152059129,723.2230586115838
3,11,18.0,394.299946091446,133.93466562883447,205.16259516704986,238.09718181145254,302.1458471447088,318.7576468437226,320.5760199202547,358.15584560555175,383.93290287585876,410.24345383705247,425.8237439784133,430.37387267333884,469.93563801626124,538.9867427527133,711.6031599441686
3,12,18.0,392.0480982848032,135.47936135686507,180.19799924942913,231.9485344312948,302.52928183124124,318.1470359888331,318.27669608883065,357.12532054278495,380.6125933502967,407.0447807723639,422.52429565319164,432.48266860970534,480.9980324738394,538.7578338908044,698.0288434432603
3,13,18.0,392.17599641432616,135.95735621155487,182.2387372013644,230.72842162545788,301.28362004421825,315.8430116639023,317.36042506095674,356.30151263622247,378.80857633038335,402.00732354241165,414.2429825311883,430.5241232545805,494.86314465870527,543.6785898870753,698.4216639530895
3,14,18.0,391.256059713891,136.6353282254952,176.95663832875996,229.84925640181885,297.8127807356086,313.2052773569022,316.4474056963484,346.42323492927954,384.5284740640943,401.5719339854712,415.262809695933,432.12138021429365,497.823821705967,543.0567584998988,697.8829037951651
3,15,18.0,393.40924902020976,136.0583163859391,176.54671532296703,230.50808763507916,299.5190642917697,325.512769760444,326.37016148856014,345.86616388364246,385.6985381082359,403.38757990707353,424.9689256709101,433.20609543395045,492.83164127477323,547.9850830821402,692.1958687540236
3,16,18.0,392.9534057966082,136.5845024917393,170.49558386876953,232.08514686335116,295.47038078124183,321.6959313367895,325.1162953213169,343.8906057109513,392.9763889611618,415.2159434636325,430.3875930083655,432.15572455804113,483.8084411484414,548.898725815926,690.4983186015886
3,17,18.0,392.84532566217655,134.4405752091184,173.8835048461452,230.63283960460598,294.584583545064,332.1928579062811,340.10622267756236,346.95719935196684,394.76734146452,415.3874226920171,428.6512024202047,432.36348716842855,472.1606805265711,548.7390254934037,685.2020867814305
3,18,18.0,393.18674644484355,129.73306220634683,174.4384616711719,232.00508008942165,294.28734586049495,334.30611021002045,344.85793958548476,363.2924593830629,391.62186050136154,424.4934833809414,430.0743076958058,433.95108608108336,462.53119393040305,554.7085357924375,655.0805504440299
3,19,18.0,394.2222636443611,133.78436418777028,163.59057838219195,231.8539106048357,290.224589078094,335.98934516999964,349.67567241357193,378.80191311665845,391.98573300516307,408.38330734186786,419.23601893712396,435.5157509354157,471.62950760462076,560.1559267042542,675.6169878786021
