month,day,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,1,17.0,296.3178907117409,59.80692192446696,192.6949214508755,218.56363548160374,239.19998976542388,264.69565850610115,272.36902294101696,285.25896513664054,294.1192691054454,320.8046011539601,324.2055105121087,329.4355146166944,348.80213393928585,363.65063818821625,394.7458604447077
1,2,17.0,301.28132356066993,55.678426736141695,206.95756202304617,230.41760244753277,248.5190311799979,273.2130784313166,278.8511662405796,286.90797713132883,308.21524537276053,317.6504811829095,322.51939679680146,327.99813344306745,351.6373790348588,369.8492797781797,390.27443946833745
1,3,17.0,305.54233214631716,50.706764357068586,219.5607938674639,242.62539762569412,262.6877033743952,284.1060440157105,289.0216705582301,291.0620377358033,308.0123195865707,311.74279267022126,318.5518458282917,327.3854397265759,352.2208445690833,370.65060232491396,390.35128895471297
1,4,17.0,313.5318395404724,48.637432043065196,231.09697496561665,258.13259754900554,276.33106753343833,290.65036914228637,293.05912647857735,294.78358210079705,299.17321770589956,322.44818131843294,326.20192402611355,333.148381106331,360.8470108427516,371.7775030643833,408.96261907106907
1,5,17.0,316.87066932306607,48.141317400996535,229.3702003733575,265.9399325881899,280.0820523570346,293.30448775340267,296.1777413566068,296.9924078561669,307.75725324639893,325.96816418146784,328.95660002149634,335.5053789843349,363.55859510153954,373.36272095764707,413.28397331538383
1,6,17.0,320.6699774807543,47.33965805292272,226.1425144917763,276.92172760257733,283.999008986741,292.5486917035086,296.41553509154426,304.83427610749027,316.904887643672,325.33888152992745,334.6782120627517,341.07386972590064,364.1708770133234,374.8750327857428,416.78982881054594
1,7,17.0,323.1682517037956,47.890087585637616,225.54715813620035,273.39890417074736,285.4158458456487,303.3516443723301,306.3830234039509,310.7503504674215,318.39567541830485,327.4950834996588,342.86727223207527,351.49649539733593,365.0231726757629,377.0331041638183,413.4391194782499
1,8,17.0,325.82057806071174,46.783323096965944,232.47505951605143,276.3245865308095,293.8367881524482,307.11819212056497,310.3043888636098,311.45371309602683,322.6121695693434,337.00167438148003,348.18623990496667,353.70519089298455,361.80323130472027,375.091864842855,420.0192023573919
1,9,17.0,325.8592118784562,46.266380331340116,239.775304729039,273.6775949375783,295.46387625339446,309.6947766930904,312.0304010690651,313.1377799907724,323.5565741919325,334.5602457230435,342.9085314981527,348.96491091498234,360.74362798483,373.45876585353585,423.430947869848
1,10,17.0,327.9309642802769,50.84008543058316,232.50724693439008,269.5445541104323,295.04589870316295,313.145555132971,315.92441148729,318.558646385197,320.82640330815735,331.87386309277673,343.0064357414158,349.168460011225,373.9685787195532,382.6108472377929,432.47064304824266
1,11,17.0,328.4358662961147,55.4269033897836,212.8372128563599,264.642763746308,297.6299171087684,315.8835152813808,320.00567423190785,321.3337594981251,324.3006507990912,335.1509763025327,342.5803825618424,348.0386620960851,372.9246111417617,388.1867636209861,437.1834823924511
1,12,17.0,329.63538295062114,56.332361667427115,211.5078439937418,262.56310368134,293.02826203809485,314.35788989042834,320.97824404676373,329.19466488754404,337.0886332113964,339.4285552709905,345.0032569247077,350.96258869580595,367.1968483030908,388.0962719351627,427.4876238399044
1,13,17.0,332.47298101173817,54.969871495652754,210.7235910602204,262.0838399879489,300.5151602214961,324.2362198279461,330.9791652110768,335.1050024140591,341.1996348722,348.95124281273024,352.8760994959739,356.40920037589933,368.9247016401164,387.0149519833402,416.0143707977968
1,14,17.0,334.83104758552463,53.38093231761208,213.8268138392098,262.43680025449316,302.19854618077125,329.2240812332778,333.3875484774439,335.38845230931076,347.0124518938878,353.87300746722025,360.79096140049927,363.0137946086062,374.23454591757627,384.75944648349457,415.5080664399563
1,15,17.0,335.0840387724927,55.045642381938954,210.06532360070315,255.03848547843972,306.78241848378866,329.53844757338743,334.01515947575444,337.05101014796617,345.94494939252246,352.604398663986,363.3865252030484,367.3212556290139,378.4421456808345,388.5837341011331,412.61376772866384
1,16,17.0,333.74423267928205,57.269837964569746,208.98294266060043,249.76988174839227,301.2332437582969,323.1815975760628,327.8434485376194,332.0525769583798,336.28177922277786,357.62970156993276,374.6070264839976,378.3751794440287,382.5209261777056,387.2680734811803,409.71439255572886
1,17,17.0,332.4694625314898,58.973130603778586,210.88370009103105,242.52228377856707,298.30320461959917,318.12582377949434,322.63477948127536,326.8688044397693,327.6513323238679,362.12078343602747,373.7307782836153,377.4362853806472,384.9439545503551,393.7147635469613,400.59780867352225
1,18,17.0,333.18350313922673,59.870617886805356,218.88550932160024,239.66288998402177,294.9927359633555,312.0297046727986,315.8827266974549,324.1810332338646,342.0829479744577,362.0631597359319,370.4574422040099,372.7588277943323,383.50238908875133,398.1024245880737,410.0317991087591
1,19,17.0,333.7893233179543,60.38580095186436,218.56860601490217,240.55252802605978,295.60666839884453,314.32637634817416,317.1471308075306,320.3351198337973,348.64873386747644,359.62211979729557,369.1763198649825,375.00970186858,381.4871662930801,394.3113547069065,422.9489502901103
1,20,17.0,333.534754645478,62.573921289813754,221.52621142039655,237.27830982792725,299.2273692405637,305.5814187534054,306.4176204763335,315.1094741986199,352.8553475774362,358.1940555580961,366.53141161427953,372.33423016649505,383.2746805829699,397.305016283225,435.32825390457265
1,21,17.0,335.30213912816936,65.61066486859323,211.18147868754042,236.3472445725479,298.79792164051423,311.82758251351714,312.454419208915,318.60343913160176,354.3909786676028,358.8518381291573,369.06031358784736,376.05981486693383,387.0045740384345,396.9506351490031,448.3641448816069
1,22,17.0,335.7031057260165,69.31297716911202,200.15513339295705,232.19078387109587,290.40758353749584,311.2389151268271,315.4604772494054,324.1610213147261,353.3814763233548,364.11621750369204,370.66309493488404,374.6950261468989,394.3730091145733,404.03710317110597,447.8300343736348
1,23,17.0,335.2174607304448,73.65339573223453,192.84909333054406,223.0777084223114,270.13987327547034,317.0640549742003,321.6537919146924,330.6512401997152,352.8965571320854,365.3709132388034,370.49294008150275,373.13691443105245,399.2551752193124,411.59797312714034,445.5836877441203
1,24,17.0,336.24075259173856,74.55973964472268,187.9959809909739,228.0091048008806,261.10750138245305,323.2343888390625,327.83487720136355,334.84319865084046,351.54343215911507,363.38610217080196,371.04350908881116,373.4663242263574,401.00305269795706,417.70776935364125,444.41758104183594
1,25,17.0,335.81270773859154,73.42039038521729,190.3632241623868,233.1157181630329,255.6295728645336,322.112814911112,330.87809660347716,338.1061452122,346.3174931700018,367.0112762397866,377.2691246922973,379.48310505261327,397.18467533403737,411.35106734964825,441.67843196786447
