time,year,month,precipitationCal,anomaly,percent,category
2019-08-31 00:00:00,2019,8,15.72658644025096,1.9833976038890846,114.43185877386324,Above
2019-09-30 00:00:00,2019,9,15.346250094117377,1.6181176335733145,111.78687369330049,Above
2019-10-31 00:00:00,2019,10,8.800714803380062,-0.7696577776500035,91.95791207569512,Below
2019-11-30 00:00:00,2019,11,9.31351458230863,4.746410461463153,203.92604013119114,Well above
2019-12-31 00:00:00,2019,12,0.4931988462565273,-2.5368499173586017,16.27692769102816,Well below
2020-01-31 00:00:00,2020,1,1.3711656718579246,-1.5454235105537324,47.01264340300889,Normal
