month,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,18.0,9.076818091574014,3.529637654695862,3.557653216419354,5.801107276667742,6.884275865612903,7.312860450564516,7.320628464194355,7.731180606304515,8.959237887580647,9.267537043354837,9.604777499721227,9.91102418887419,11.03373072735484,11.965753104903229,19.76771768451613
2,18.0,8.72875900757348,6.559317434457573,2.325974144034482,3.2202249547758623,3.6870553373000003,4.446559754678572,4.6328770011825,4.776664325642856,6.4989777151785715,7.580175126457143,9.479877430479803,10.108463568226599,14.263687224568976,17.22695900992857,25.976366071428576
3,18.0,7.344812239446237,3.2310714715809876,3.4303709795161286,4.676916866864517,5.521622544948387,5.604824162193548,5.609719380873549,5.758006443096774,6.532499927741935,6.9475160251612875,7.45168554332361,7.555464521432256,8.275509713290322,11.795884558580646,16.625701737419355
4,18.0,4.58853890569426,2.739536729684726,1.7328250149333333,2.0004150830299996,2.5743183594533336,3.0416483032000006,3.088248732372001,3.1174682980000012,3.817933325664999,4.350681679133333,4.940615783261335,5.6074832585999985,6.234726616133333,7.201950816786669,12.590350186666667
5,18.0,4.389977134422939,1.9967998358591057,1.5456773474193548,2.1450742202258066,2.314241925754839,3.389410450870967,3.5714142343958057,3.6989500079999993,3.9663345936774195,4.538600052980643,5.285893852634709,5.547951604974192,6.227893512516131,6.939111316161289,8.39962098483871
6,18.0,3.6456347158277773,2.235088174774069,0.9930833243333332,1.9864658595666669,2.438514979953333,2.6862983577133335,2.783715957485134,2.8511566194266678,3.2380666612,3.3772150550666664,3.499578503924667,3.6813017360999996,4.103228282866667,5.437450794166667,11.344924970333336
7,18.0,3.8251070743681,2.2483190236394583,0.5225645181419354,1.3621975686129033,1.7168322468903225,2.279638660503225,2.4633752495356775,2.9373322420451617,3.6664274580967744,4.039488806322581,4.777418913975485,4.826245919290322,5.9857467331612915,6.760849920838709,8.210266244193546
8,18.0,3.2955940840578855,1.4832263835967425,1.059072544806452,1.6796056012580645,2.389172590580645,2.6847015833474197,2.7937346731031196,2.9337951654129033,3.0699556596612902,3.4258257731483868,3.6131910042286455,3.8694127343096762,3.963382366058064,4.619371008393546,7.675217766903227
9,18.0,3.2593879584659255,1.652419610330337,0.4216250013,1.4108883120333333,1.8687833324666663,1.9746991754756666,2.313491779268057,2.6138900325999996,3.007129125205,3.6401649521999992,4.172449876253333,4.520251758333332,4.864866721866667,5.273413410166666,5.969449663666666
10,18.0,5.171168451240501,2.638565799997989,1.4370322345161293,2.296431442483871,2.6777725748774195,3.6142104720967745,3.7649159204854845,3.898261320051613,4.472568494830646,5.3002999965806445,6.807967644198065,7.100123353967742,7.833138675931614,8.155729847667741,10.652653292258064
11,18.0,6.371061571315556,2.50462406341915,1.982699975,3.3332166982133336,4.425661634106666,4.72150254386,4.8289012148506,5.062526663133332,6.8674874325666675,7.534055062066667,7.715975333051558,7.894461611081999,8.688536549933335,9.569248422433335,9.881325064666669
12,18.0,7.65774863132957,3.7127198492672155,2.701338640709677,3.9643677799,4.335824243490324,4.77103296504516,5.108813814017547,5.575037128193549,6.342612842903225,8.26228219283871,9.238222311920648,10.76250151106451,11.748880570245165,12.647393520677419,13.626806654835486
