month,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,18.0,7.903734910851254,3.909274646748369,2.2899536845806456,3.9604295614161296,4.9448340573548375,5.675248555790322,6.199769442930483,6.618057522580644,6.910455445387097,7.8238130584,8.269931346859355,9.03396394929032,10.735801411012904,14.635578188767745,15.04993900967742
2,18.0,7.568713311648584,4.746696317265053,2.136728651137931,2.6938664652071425,3.8576931957908864,4.32457269725,4.789508330118929,5.359744635581282,5.978441245553571,7.128750365285713,8.07088284128286,9.379484137999997,11.15261700993572,15.616841904938928,16.616066171482757
3,18.0,4.961786205323478,2.2400351479692375,1.698093343870968,2.135876006709678,3.597014160141936,3.7417761676000003,3.942960781920516,4.127468527445161,4.494790354274194,5.146217066380644,5.681110645988582,5.851037862441936,6.678746770322582,7.395232745161291,10.563294529032259
4,18.0,5.196432716069075,3.6604814681850177,1.1213086771999998,1.459556587114667,1.9841583719333338,3.3008233125433324,3.3055678521024325,3.921368616800001,4.777324265466666,5.0129106513599995,5.785625948070901,6.778721435904996,7.713192758133333,8.2737544741,16.019169759333334
5,18.0,3.6977680979007164,2.10638490653986,1.186961457403226,1.8930048918451612,2.343477317792258,2.4051121891451612,2.420695511147903,2.52107431504516,3.100355798712903,3.6020529091548386,3.92015807269413,4.329083269422579,5.18584448428,5.682432535303224,10.04679471532258
6,18.0,2.566418519352778,2.1651638303233054,0.3847695521333333,1.079173988387,1.3357527418,1.4302163772299998,1.4336498699993,1.75518438388,1.9813913145300002,2.1705737076266667,2.4783739358474337,2.565922001945,2.867703034826667,4.513417727029336,9.180115600983333
7,18.0,1.4578424080152328,0.7219594864895283,0.6185035216612904,0.7453700575112903,0.9325673036258064,0.9767064497919357,0.9976451761596935,1.1648921530838712,1.370468787101613,1.535279765915484,1.6311020117315032,1.6404553818829029,1.8382728129483876,2.0798993596612907,3.6115617173870964
8,18.0,1.4768232851044802,0.8799506796812576,0.24049509119677423,0.4220712465951614,0.6097349221316131,0.9401271218951612,1.117653752490726,1.3398043654645162,1.5172408661854837,1.6185009648025803,1.6995581082079614,1.7781289096083872,2.0737351974167746,2.4555471829951623,3.353005526774194
9,18.0,1.8178528241430374,1.1625581982341988,0.2755601460966667,0.7585987550784001,0.9184582623733333,1.171063907647667,1.2228474644452767,1.4933872199580003,1.6574097686833338,1.8150937935366669,1.8784137295150936,1.9835711709886668,2.429572478031334,3.073520517085667,5.199152103099999
10,18.0,3.277320929149157,1.6712627837460707,0.3875378653225806,1.2835145293587098,1.8544358938129033,2.644637441184516,2.795910738101974,3.1530621453948386,3.3595575940645155,3.5336162836923872,3.810870443149045,3.8606684283929025,4.0753205525129035,5.2382913258900015,6.655371513064517
11,18.0,4.6866420519796295,2.243903749028852,0.8642550438,1.4738152820033332,2.48496000496,3.371792679483332,4.074761921859833,4.6029977026,5.035201834933333,5.427045027026668,5.595474798321668,5.8975254184166666,6.48023997564,7.27861342819,8.387464429733333
12,18.0,6.998690178357527,4.092850468877368,2.963977434322581,3.184745307906452,3.4000760465806446,3.8351858719193537,4.5826656839756446,5.083528943483872,5.792017895314517,6.404096315677419,6.584318359653615,6.7822551359322585,11.492988199090323,12.926234628967741,15.065681107096772
