time,precipitationCal
2001-01-01,3.5882343110348836
2001-01-02,13.912458998643494
2001-01-03,14.496734798305216
2001-01-04,23.654576062896535
2001-01-05,3.5084523613672385
2001-01-06,6.073050293428257
2001-01-07,1.2876820960768438
2001-01-08,1.2020120547310602
2001-01-09,0.11270895833502315
2001-01-10,0.012439653836159987
2001-01-11,0.03687060653354031
2001-01-12,0.40985402183472824
2001-01-13,0.7778866518147712
2001-01-14,2.1560209224739824
2001-01-15,0.9183419495223409
2001-01-16,0.016586352102683572
2001-01-17,0.032652694464068634
2001-01-18,0.019009183213286738
2001-01-19,0.7322624385813794
2001-01-20,0.669878541939038
2001-01-21,2.7841210719859366
2001-01-22,1.001214160712826
2001-01-23,4.943575336581499
2001-01-24,16.517473737151086
2001-01-25,15.410600043640848
2001-01-26,19.000265169595803
2001-01-27,15.357540920662617
2001-01-28,2.388621724397462
2001-01-29,7.531566818726053
2001-01-30,1.7200024361834692
2001-01-31,0.5607540466178663
2001-02-01,11.595375366462061
2001-02-02,7.589042173979848
2001-02-03,0.5978044172689888
2001-02-04,0.5765264770640829
2001-02-05,8.792997723648082
2001-02-06,17.130308294533744
2001-02-07,55.70335410629635
2001-02-08,10.469374654767437
2001-02-09,6.342785454608531
2001-02-10,2.001884173988039
2001-02-11,7.959029636539534
2001-02-12,16.97118083813405
2001-02-13,12.595879428616408
2001-02-14,2.068080873715657
2001-02-15,2.28031740251756
2001-02-16,26.607456004733635
2001-02-17,36.555610789252704
2001-02-18,8.062732168313481
2001-02-19,5.774895653420313
2001-02-20,8.301482475598592
2001-02-21,1.2878982227408948
2001-02-22,0.18632619942190937
2001-02-23,0.07541576748799421
2001-02-24,0.266727091640472
2001-02-25,0.05034773062016066
2001-02-26,0.6036628916502025
2001-02-27,1.8291899218921919
2001-02-28,1.3022796036432642
2001-03-01,0.1015985731174016
2001-03-02,0.1906670475147231
2001-03-03,0.36819115496547555
2001-03-04,0.32557704599769177
2001-03-05,0.5405116559753194
2001-03-06,5.087739441020413
2001-03-07,11.397715917766915
2001-03-08,6.259593764805259
2001-03-09,5.19346033728438
2001-03-10,4.229246490443212
2001-03-11,2.28209464281312
2001-03-12,0.8015909800809932
2001-03-13,0.10886528814255104
2001-03-14,0.6802373809720543
2001-03-15,0.40366242747469006
2001-03-16,4.4669094467296295
2001-03-17,1.1167263155552867
2001-03-18,3.1244381977265143
2001-03-19,15.476288473912161
2001-03-20,25.499286817140177
2001-03-21,4.092451917637005
2001-03-22,2.86833440535203
2001-03-23,5.984267530655442
2001-03-24,2.3805007687237474
2001-03-25,0.26850232900919585
2001-03-26,1.2317700252975994
2001-03-27,6.1400714263885705
2001-03-28,5.509207821005689
2001-03-29,6.643145894687368
2001-03-30,0.2951763368179431
2001-03-31,0.18483536200979292
2001-04-01,0.17379422648639725
2001-04-02,0.6102241144973577
2001-04-03,0.836323531242235
2001-04-04,0.8855401173047429
2001-04-05,2.9365736886602964
2001-04-06,7.000001185873052
2001-04-07,9.252458298789241
2001-04-08,1.9864237138269443
2001-04-09,1.1831375405678959
2001-04-10,0.12258304566677633
2001-04-11,0.22994174641140683
2001-04-12,0.4742015738292398
2001-04-13,0.032872246457791236
2001-04-14,0.010495541739149072
2001-04-15,0.05309483953595421
2001-04-16,0.1851358267198204
2001-04-17,1.8915492001439163
2001-04-18,0.3008189261474181
2001-04-19,0.2100331777226074
2001-04-20,0.36264755316954383
2001-04-21,0.017842359004575536
2001-04-22,0.42198200327549884
2001-04-23,0.4368634708821873
2001-04-24,0.5308337295916291
2001-04-25,0.5463804601809715
2001-04-26,0.0036473644895997728
2001-04-27,0.027322006109755072
2001-04-28,0.040877057763625796
2001-04-29,0.044389352671726605
2001-04-30,0.07133448804339546
2001-05-01,0.03842097954055892
2001-05-02,0.010805900512835831
2001-05-03,0.001971178487138498
2001-05-04,0.02004391930171212
2001-05-05,0.026639231549610367
2001-05-06,0.5237848288499103
2001-05-07,25.577189433885298
2001-05-08,6.565454792946226
2001-05-09,0.007755531344053866
2001-05-10,0.00039514844244478616
2001-05-11,0.001692209970331516
2001-05-12,1.0998687768094288e-06
2001-05-13,0.00930408973122605
2001-05-14,0.011408986118831612
2001-05-15,0.0161541901028121
2001-05-16,0.026326086061335588
2001-05-17,0.5025561023085053
2001-05-18,2.0892300038060063
2001-05-19,18.629079150612043
2001-05-20,104.40825897838039
2001-05-21,1.3821147905801037
2001-05-22,0.020208168107377997
2001-05-23,0.003552923453017387
2001-05-24,0.004064464798483757
2001-05-25,0.011788244462145306
2001-05-26,0.015867489432300506
2001-05-27,0.40792198672315644
2001-05-28,1.4954839785277563
2001-05-29,26.233289810408497
2001-05-30,1.379548338219345
2001-05-31,0.018367473803736926
2001-06-01,0.04669186265035352
2001-06-02,0.01871551230849732
2001-06-03,0.32163287874664565
2001-06-04,0.27829347767850987
2001-06-05,0.25818842208515874
2001-06-06,0.05939933700873983
2001-06-07,0.1017744633588082
2001-06-08,0.17751662404031848
2001-06-09,0.08125820479366033
2001-06-10,0.5263620646448713
2001-06-11,0.06988769798568827
2001-06-12,0.007155453385592031
2001-06-13,0.005830611059845233
2001-06-14,0.01694121768027963
2001-06-15,0.034000284889738275
2001-06-16,0.03245424965108738
2001-06-17,2.8437814007437487
2001-06-18,2.6658608787728477
2001-06-19,0.14447114765198035
2001-06-20,0.02950281933518564
2001-06-21,0.03430910054724115
2001-06-22,0.37080515184433255
2001-06-23,0.13785399940141285
2001-06-24,3.268626653378796
2001-06-25,0.3558696394744514
2001-06-26,0.21351611410023505
