time,precipitationCal
2001-01-01,13.587151409691383
2001-01-02,16.26038183739042
2001-01-03,22.377649907702708
2001-01-04,13.201692691635808
2001-01-05,8.350072241126338
2001-01-06,5.079420365691442
2001-01-07,3.2735502590277403
2001-01-08,3.4856581361265504
2001-01-09,8.815236662557393
2001-01-10,16.852041741440626
2001-01-11,9.012049482638204
2001-01-12,10.047057431940935
2001-01-13,11.198121114121244
2001-01-14,5.9540148543713
2001-01-15,4.768325229949036
2001-01-16,11.372557828931823
2001-01-17,6.452887122323731
2001-01-18,3.2195640507532906
2001-01-19,6.755764006883198
2001-01-20,7.648567977862618
2001-01-21,3.818493800318048
2001-01-22,9.211366737107467
2001-01-23,7.491502492224728
2001-01-24,12.83795185562238
2001-01-25,8.883863935941791
2001-01-26,1.9112707834295188
2001-01-27,5.035638828359853
2001-01-28,10.50134463323834
2001-01-29,6.194497695447527
2001-01-30,5.316732562317502
2001-01-31,7.421073825678149
2001-02-01,5.8725641832285875
2001-02-02,19.978654779453525
2001-02-03,17.183856008669434
2001-02-04,6.131097154482049
2001-02-05,10.270104448103059
2001-02-06,12.313403034403422
2001-02-07,20.93411756102602
2001-02-08,10.551740901234936
2001-02-09,16.72993284018932
2001-02-10,14.759216346369072
2001-02-11,19.32205779462821
2001-02-12,22.456196375970265
2001-02-13,14.6242578239793
2001-02-14,14.539152812360719
2001-02-15,16.890958757055316
2001-02-16,13.212965751959096
2001-02-17,13.671888045630075
2001-02-18,16.784363763304174
2001-02-19,40.72488878490326
2001-02-20,31.58097228535048
2001-02-21,39.02907183132885
2001-02-22,32.08125567436536
2001-02-23,26.67250719494052
2001-02-24,9.94997761218329
2001-02-25,12.792220073515425
2001-02-26,15.497406376963
2001-02-27,11.826111802055685
2001-02-28,4.706402316941256
2001-03-01,4.259071751282918
2001-03-02,3.717944234260396
2001-03-03,11.326677206088133
2001-03-04,7.80748512781294
2001-03-05,12.52346876809536
2001-03-06,8.730966555569289
2001-03-07,10.439494790562826
2001-03-08,15.400702734400042
2001-03-09,17.199352068968928
2001-03-10,16.637751029074085
2001-03-11,13.263197833372294
2001-03-12,13.338426952091952
2001-03-13,3.9182548217158377
2001-03-14,10.277785503900652
2001-03-15,21.850494133404847
2001-03-16,15.453552400858525
2001-03-17,13.086691898494067
2001-03-18,9.281336980830739
2001-03-19,6.883280289150752
2001-03-20,6.569416561110311
2001-03-21,6.287231854495182
2001-03-22,10.665851185799452
2001-03-23,15.827720054630678
2001-03-24,5.192883394162417
2001-03-25,2.0865102223146206
2001-03-26,6.357224392725615
2001-03-27,4.716975162978049
2001-03-28,7.281512894689882
2001-03-29,11.980885412026426
2001-03-30,15.436881757559169
2001-03-31,15.117514930210984
2001-04-01,8.677541551632585
2001-04-02,7.925806550685827
2001-04-03,8.938960871162516
2001-04-04,7.72660771478027
2001-04-05,7.773526829975636
2001-04-06,20.15934154696104
2001-04-07,18.33682399902905
2001-04-08,10.769352164991231
2001-04-09,19.34126841005916
2001-04-10,9.33997302450471
2001-04-11,17.583290787118695
2001-04-12,10.13479651079647
2001-04-13,9.072819670677987
2001-04-14,9.264744671712767
2001-04-15,6.3057830896186875
2001-04-16,5.918211075039886
2001-04-17,9.220153572278356
2001-04-18,11.480668378690494
2001-04-19,12.075997029397044
2001-04-20,11.636424136797686
2001-04-21,12.732041998616925
2001-04-22,11.859726033025288
2001-04-23,5.942574250268294
2001-04-24,7.128025627702092
2001-04-25,4.099086680100094
2001-04-26,4.976182159718151
2001-04-27,9.420957863635834
2001-04-28,14.044752396458568
2001-04-29,12.888923615066954
2001-04-30,23.80486167307228
2001-05-01,9.493966627458251
2001-05-02,12.364246286642453
2001-05-03,10.876209204441128
2001-05-04,8.783407738761825
2001-05-05,8.332295949370948
2001-05-06,11.251444762158911
2001-05-07,16.514610437822117
2001-05-08,8.11299831071073
2001-05-09,6.170616093563024
2001-05-10,6.363971054454136
2001-05-11,12.929281331653785
2001-05-12,10.564995784440399
2001-05-13,7.6946258949848625
2001-05-14,4.4465260986759185
2001-05-15,4.961252086553359
2001-05-16,3.429159977698907
2001-05-17,3.216391364446213
2001-05-18,1.4787806029526127
2001-05-19,1.3907859134056009
2001-05-20,1.1858031657543733
2001-05-21,3.041483874668172
2001-05-22,7.924466602946186
2001-05-23,5.655093987581618
2001-05-24,9.799944655270654
2001-05-25,5.877884352426221
2001-05-26,11.218021395843824
2001-05-27,7.014841228222944
2001-05-28,5.883171020270269
2001-05-29,4.9876640484273755
2001-05-30,9.443350100460544
2001-05-31,8.373535773301057
2001-06-01,8.769746226126646
2001-06-02,3.4560799705243035
2001-06-03,16.79197596229739
2001-06-04,15.008615588340694
2001-06-05,6.195106868086506
2001-06-06,11.840944819434705
2001-06-07,11.528058526806246
2001-06-08,5.070598755094312
2001-06-09,3.4583781437759518
2001-06-10,7.912831993110297
2001-06-11,15.00364793664858
2001-06-12,9.622732160326393
2001-06-13,8.752298123821456
2001-06-14,5.613053835479751
2001-06-15,5.773680055469265
2001-06-16,2.8010221693169215
2001-06-17,3.9167230388689753
2001-06-18,2.9489481335983
2001-06-19,8.334141120331987
2001-06-20,8.657912056585042
2001-06-21,11.17835450460582
2001-06-22,10.311668517348423
2001-06-23,23.70060017766238
2001-06-24,7.554743296650078
2001-06-25,11.927847137483585
2001-06-26,8.641469601558528
2001-06-27,22.606818951526318
2001-06-28,20.849805103856166
2001-06-29,11.678771195550327
2001-06-30,9.482438480804005
2001-07-01,7.572390143119448
2001-07-02,3.8599971959050787
2001-07-03,6.714563158168707
