number,tpara_masked
0,26.87060411214285
1,-15.379005920597894
2,-14.878736465107067
3,-24.73542319118375
4,45.73310737517507
5,24.022464610122064
6,22.061385607230477
7,-2.1956860033848593
8,5.365706101656542
9,-15.193023727988475
10,-0.5904231178040691
11,11.046656330411983
12,7.546456496735724
13,14.04144237919051
14,7.153592681182393
15,25.285099051567762
16,30.511614568240475
17,-13.538122326887486
18,-2.546282000063608
19,32.06504099277178
20,-23.276489476605395
21,-18.29402170490842
22,-4.053153664547911
23,23.855733388700173
24,1.5214898970346742
25,11.017239861151515
26,22.133103054026527
27,-1.039874556833335
28,11.872354358880937
29,-5.7213280039529
30,15.50896892391999
31,5.932776048211963
32,-27.845156106801973
33,-4.110167613665302
34,15.10722806112123
35,2.0923778265569126
36,32.17907836490971
37,-5.993750088843322
38,-10.570573749646428
39,14.861740282867686
40,-13.163078923147015
41,-6.6124433336275015
42,-6.585821665794357
43,-5.2764240384325
44,18.465774094996352
45,4.698800163775255
46,14.560583849743125
47,-4.429722366694477
48,13.288807091763982
49,17.015992170854588
50,17.450503264626605
0,-22.50865952883411
1,22.158935871393247
2,17.08565718535245
3,2.2952577616308645
4,31.13887207343661
5,23.182132509920926
6,49.784048587279514
7,17.951679550283945
8,0.8733970583800019
9,-20.479397437137926
10,1.8143732442392015
11,13.189584535666654
12,21.62983185153659
13,22.54340077575042
14,-10.665877514526303
15,11.227602699411438
16,22.36005025579857
17,-0.8765116040384182
18,-7.645548342575619
19,10.762987094163162
20,-5.738710691834589
21,8.33501741700123
22,9.802614571915077
23,21.26316071363969
24,-13.473615112502557
25,12.05266035123979
26,11.410949814679345
27,54.842757446493806
28,3.224251384400153
29,-7.310811955818509
30,20.634461694868378
31,35.54908145630975
32,31.06742922180198
33,-16.677217088793366
34,-10.702539299245473
35,5.2967745745036146
36,27.146314529602478
37,2.202589814241189
38,10.752072565622939
39,28.94681368677728
40,17.97492969283591
41,-5.025239335765264
42,22.813391768276382
43,-0.42389292076450147
44,20.453693257612336
45,-18.498012307096207
46,12.680021033162348
47,-6.7047253674938165
48,-3.613619773782754
49,0.9923340667702025
50,1.5107894194936005
51,13.323575280092353
52,22.13151351071474
53,-2.734428979541311
54,27.0358575527041
55,42.41468850215331
56,24.68064108640533
57,8.900559252585555
58,-3.9166587010678686
59,18.104761837870832
60,-1.106421769018576
61,-21.790446188182006
0,1.2841117798719401
1,3.9945196779929883
2,30.250513797606494
3,6.878205264608065
4,-7.747833781953279
5,39.10234151286811
6,7.885110638502132
7,11.65168820686328
8,7.231828173341152
9,1.2552732187032234
10,26.18412509036716
11,-23.27584525119164
12,20.969309844076633
13,23.454939916215757
14,6.986302499475035
15,33.385333608748624
16,23.76680185989244
17,15.01399538028636
18,5.00961050420301
19,7.672497304156423
20,32.512332381884335
21,-0.21159015280621493
22,4.784984260671385
23,41.21204710827442
24,-9.042328959670462
25,-0.8538828903207711
26,20.281030780703684
27,12.532458034305213
28,13.21450326940976
29,49.27263338079987
30,-22.548836871768195
31,-16.782204662983226
32,17.457144470730178
33,-24.975766640030393
34,-14.514000667986693
35,-4.294255025646029
36,-0.04045356642260823
37,-9.932989541994175
38,-3.1605509320797873
39,9.517824158441119
40,52.17642258988538
41,20.410709566931473
42,2.414272633662525
43,-2.9215622513826625
44,52.310118311046
45,2.230270486810089
46,30.883067362689573
47,0.853901838127058
48,0.04234834705130197
49,13.248192468987934
50,26.225639733941836
0,-7.05168442157363
1,-20.773241645362837
2,3.111790084867986
3,4.55104339399289
4,11.839785596379215
5,-15.17651300927033
6,20.35348630376651
7,26.134961602271765
8,41.016948430320596
9,-4.204261975597015
10,-1.9920038951681818
11,23.25071128221149
12,1.0177598023612213
13,-0.05583681665181461
14,-12.827157854407762
15,12.552243836931135
16,-15.41053788282435
17,9.630239420725198
18,4.781548194425038
19,10.765780563322854
20,-2.2612714663713023
21,1.1964445730446491
22,-12.198993667074848
23,9.996795835576222
24,13.036982456545351
25,-22.675654687276392
26,16.151746162762493
27,4.823493456503533
28,32.97356846824565
29,16.10220564292793
30,-3.0139008326083667
31,-3.5794098055911645
32,17.346601192495353
33,5.816751524889696
34,-15.440060933495186
35,-19.611856731197953
36,2.4608604043407922
37,-24.702891288086448
38,-19.598251022046043
39,-5.77593558167185
40,0.12067102872492796
41,7.199635554400174
42,7.930409958352888
43,-13.62294232976069
44,32.750404610482065
45,9.773775270597676
46,24.487617119225053
47,-15.349458148961048
48,3.701530637556516
49,-20.99480160093018
0,3.6261413131436866
1,3.4193467316849064
2,9.734051046687378
3,-21.076633327510308
4,-14.311903958249179
5,11.554421567675869
6,1.694994441100069
7,-18.610101755929993
8,-25.043468854235584
9,-2.67935636640478
10,-6.736432892987902
11,-15.07589046193895
12,5.45810663332702
13,4.460303681952382
14,14.52939487241641
15,-17.700059788220795
16,-0.9994812385135297
17,5.708047664162072
18,10.70809211671057
19,8.477935390753071
20,-4.48211334713733
21,-5.670827511276381
22,-2.6149775678163683
23,-0.28177119896592284
24,-21.47318856060565
25,-28.476136855933497
26,0.024160377402419494
27,-4.113049308548019
28,7.857870354399665
29,-9.866404360181491
30,-7.417927013383026
31,0.45292569694765916
32,-7.291403925080431
33,-9.654842851129311
34,-14.288219940539193
35,4.993076026712137
36,1.2833194507066994
37,11.6047527143337
38,-12.212068467576387
39,2.751910255227586
40,12.29762099560124
41,2.245067465267425
42,-6.698089120386423
43,-1.9155625974320856
44,-2.89965133385787
45,7.435928761623245
46,-12.55144640073998
47,-0.24727634754621386
48,-24.54827023138743
49,16.737085791381407
