time,year,month,trmm,anomaly,percent,category
2018-10-31,2018,10,2.2174284,-0.9093300159384401,70.91780426722828,Below
2018-11-30,2018,11,2.808589,-1.3026626225652853,68.31469469695074,Below
2018-12-31,2018,12,3.1575792,-2.063631646415235,60.47599467616759,Below
2019-01-31,2019,1,2.4197557,-3.149895065149275,43.44537567033795,Well below
2019-02-28,2019,2,4.5909157,-0.5919556350353838,88.57861600140559,Normal
2019-03-31,2019,3,6.1924524,2.2867249209376417,158.54798920834295,Well above
